metric,value
n,357
roc_auc,0.9942363112391931
accuracy,0.9859943977591037
precision,0.8571428571428571
recall_tpr,0.6
f1,0.7058823529411765
fpr,0.002881844380403458
fnr,0.4
eer,0.010086455331412104
