axis,group,n,accuracy,auc,eer,precision,recall,f1,fpr,fnr
skin_tone,I,165,0.9757575757575757,0.9992877492877493,0.003205128205128205,1.0,0.5555555555555556,0.7142857142857143,0.0,0.4444444444444444
skin_tone,V,101,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
skin_tone,__gap__,,0.024242424242424288,0.0007122507122506727,0.003205128205128205,0.0,0.4444444444444444,0.2857142857142857,0.0,0.4444444444444444
illumination,dark,112,0.9642857142857143,1.0,0.0,1.0,0.6,0.75,0.0,0.4
