condition,n,auc,accuracy,tpr,fpr,eer
original,2195,1.0,1.0,1.0,0.0,0.0
skin,2195,1.0,0.9995444191343964,1.0,0.0005102040816326531,0.0
lighting,2195,1.0,0.9990888382687927,1.0,0.0010204081632653062,0.0
combined,2195,1.0,1.0,1.0,0.0,0.0

axis,delta_auc,performance_drop,tpr_change,fpr_change,eer_change
skin,0.0,0.0004555808656035998,0.0,-0.0005102040816326531,0.0
lighting,0.0,0.0009111617312073106,0.0,-0.0010204081632653062,0.0
combined,0.0,0.0,0.0,0.0,0.0
